velocity, maxwell_300, maxwell_600, maxwell_1500
velocity, Maxwell distribution for 300 m/s velocity, Maxwell distribution for 600 m/s velocity, Maxwell distribution for 1500 m/s velocity
m/s, units? , units?, units?
1356, 4.8730612174e-07, 6.4281240163e-05, 0.000567898416646
1358, 4.71951983466e-07, 6.33537463596e-05, 0.000565605958755
1360, 4.57056091017e-07, 6.24377554874e-05, 0.0005633145057
1362, 4.42605624832e-07, 6.15331567659e-05, 0.00056102412754
1364, 4.28588096277e-07, 6.06398399589e-05, 0.00055873489388
1366, 4.14991339966e-07, 5.97576953814e-05, 0.000556446873876
1368, 4.01803506234e-07, 5.88866139052e-05, 0.000554160136232
1370, 3.8901305376e-07, 5.80264869649e-05, 0.000551874749194
1372, 3.76608742329e-07, 5.71772065643e-05, 0.000549590780554
1374, 3.64579625757e-07, 5.6338665281e-05, 0.000547308297649
1376, 3.52915044943e-07, 5.55107562726e-05, 0.000545027367354
1378, 3.41604621071e-07, 5.46933732816e-05, 0.000542748056087
1380, 3.30638248951e-07, 5.38864106404e-05, 0.000540470429804
1382, 3.20006090489e-07, 5.30897632764e-05, 0.000538194554
1384, 3.09698568304e-07, 5.23033267162e-05, 0.000535920493707
1386, 2.99706359465e-07, 5.15269970906e-05, 0.000533648313493
1388, 2.9002038937e-07, 5.07606711386e-05, 0.000531378077461
1390, 2.8063182574e-07, 5.00042462115e-05, 0.000529109849248
1392, 2.71532072753e-07, 4.92576202771e-05, 0.000526843692024
1394, 2.62712765292e-07, 4.85206919236e-05, 0.000524579668493
1396, 2.5416576332e-07, 4.77933603626e-05, 0.000522317840887
1398, 2.45883146369e-07, 4.70755254334e-05, 0.000520058270972
1400, 2.37857208158e-07, 4.63670876057e-05, 0.000517801020042
1402, 2.30080451314e-07, 4.5667947983e-05, 0.000515546148922
1404, 2.22545582215e-07, 4.49780083055e-05, 0.000513293717964
1406, 2.15245505941e-07, 4.4297170953e-05, 0.000511043787048
1408, 2.08173321339e-07, 4.36253389476e-05, 0.00050879641558
1410, 2.01322316191e-07, 4.2962415956e-05, 0.000506551662497
1412, 1.94685962492e-07, 4.23083062923e-05, 0.000504309586257
1414, 1.88257911828e-07, 4.16629149199e-05, 0.000502070244846
1416, 1.8203199086e-07, 4.10261474534e-05, 0.000499833695776
1418, 1.76002196909e-07, 4.03979101611e-05, 0.000497599996082
1420, 1.70162693635e-07, 3.97781099663e-05, 0.000495369202325
1422, 1.64507806817e-07, 3.91666544493e-05, 0.000493141370588
1424, 1.59032020226e-07, 3.85634518486e-05, 0.00049091655648
1426, 1.5372997159e-07, 3.79684110625e-05, 0.000488694815131
