velocity, planck_3000, planck_4000, planck_5000
2.44e-06, 2.24096558624e+11, 4.08604975267e+11, 6.10985358558e+11
2.45e-06, 2.21620315294e+11, 4.03473884469e+11, 6.02798458688e+11
2.46e-06, 2.19175718134e+11, 3.98420648567e+11, 5.94745954371e+11
2.47e-06, 2.16762340094e+11, 3.93443910843e+11, 5.8682525984e+11
2.48e-06, 2.14379759211e+11, 3.88542340526e+11, 5.79033845732e+11
2.49e-06, 2.12027558598e+11, 3.83714632279e+11, 5.71369237733e+11
2.5e-06, 2.09705326432e+11, 3.78959505689e+11, 5.63829015254e+11
2.51e-06, 2.07412655934e+11, 3.74275704774e+11, 5.56410810148e+11
2.52e-06, 2.05149145353e+11, 3.69661997496e+11, 5.49112305455e+11
2.53e-06, 2.02914397944e+11, 3.65117175282e+11, 5.41931234178e+11
2.54e-06, 2.0070802194e+11, 3.60640052554e+11, 5.34865378094e+11
2.55e-06, 1.9852963053e+11, 3.56229466273e+11, 5.27912566595e+11
2.56e-06, 1.9637884183e+11, 3.51884275484e+11, 5.21070675557e+11
2.57e-06, 1.94255278851e+11, 3.47603360878e+11, 5.14337626237e+11
2.58e-06, 1.92158569468e+11, 3.43385624356e+11, 5.07711384204e+11
2.59e-06, 1.90088346387e+11, 3.39229988603e+11, 5.01189958287e+11
2.6e-06, 1.8804424711e+11, 3.35135396676e+11, 4.94771399563e+11
2.61e-06, 1.86025913897e+11, 3.31100811592e+11, 4.88453800358e+11
2.62e-06, 1.8403299373e+11, 3.27125215927e+11, 4.82235293281e+11
2.63e-06, 1.82065138274e+11, 3.23207611427e+11, 4.76114050282e+11
2.64e-06, 1.80122003837e+11, 3.19347018621e+11, 4.70088281728e+11
2.65e-06, 1.78203251328e+11, 3.15542476446e+11, 4.64156235513e+11
2.66e-06, 1.76308546215e+11, 3.11793041875e+11, 4.58316196181e+11
2.67e-06, 1.74437558488e+11, 3.0809778956e+11, 4.52566484071e+11
2.68e-06, 1.72589962606e+11, 3.04455811474e+11, 4.46905454495e+11
2.69e-06, 1.70765437463e+11, 3.00866216562e+11, 4.41331496923e+11
2.7e-06, 1.68963666336e+11, 2.97328130407e+11, 4.35843034192e+11
2.71e-06, 1.67184336846e+11, 2.9384069489e+11, 4.30438521745e+11
2.72e-06, 1.65427140906e+11, 2.90403067868e+11, 4.25116446875e+11
2.73e-06, 1.63691774684e+11, 2.87014422854e+11, 4.19875327993e+11
2.74e-06, 1.61977938548e+11, 2.83673948699e+11, 4.14713713921e+11
2.75e-06, 1.60285337024e+11, 2.80380849292e+11, 4.09630183191e+11
2.76e-06, 1.58613678752e+11, 2.77134343254e+11, 4.04623343373e+11
2.77e-06, 1.56962676433e+11, 2.73933663645e+11, 3.99691830406e+11
2.78e-06, 1.55332046789e+11, 2.7077805768e+11, 3.94834307963e+11
2.79e-06, 1.53721510509e+11, 2.67666786437e+11, 3.90049466816e+11
2.8e-06, 1.52130792208e+11, 2.64599124592e+11, 3.85336024224e+11
2.81e-06, 1.50559620378e+11, 2.6157436014e+11, 3.80692723338e+11
2.82e-06, 1.49007727339e+11, 2.5859179413e+11, 3.76118332615e+11
2.83e-06, 1.47474849196e+11, 2.55650740412e+11, 3.7161164525e+11
2.84e-06, 1.4596072579e+11, 2.52750525374e+11, 3.67171478621e+11
2.85e-06, 1.44465100651e+11, 2.498904877e+11, 3.62796673748e+11
2.86e-06, 1.42987720951e+11, 2.47069978119e+11, 3.58486094767e+11
2.87e-06, 1.41528337462e+11, 2.44288359175e+11, 3.5423862841e+11
2.88e-06, 1.40086704503e+11, 2.41545004984e+11, 3.50053183509e+11
2.89e-06, 1.38662579902e+11, 2.38839301011e+11, 3.45928690498e+11
2.9e-06, 1.37255724943e+11, 2.36170643842e+11, 3.41864100943e+11
2.91e-06, 1.35865904325e+11, 2.33538440969e+11, 3.37858387069e+11
2.92e-06, 1.34492886118e+11, 2.30942110569e+11, 3.33910541307e+11
2.93e-06, 1.33136441712e+11, 2.28381081297e+11, 3.30019575848e+11
2.94e-06, 1.31796345779e+11, 2.25854792079e+11, 3.26184522213e+11
2.95e-06, 1.30472376228e+11, 2.23362691911e+11, 3.22404430825e+11
2.96e-06, 1.29164314157e+11, 2.20904239659e+11, 3.18678370598e+11
2.97e-06, 1.27871943813e+11, 2.18478903866e+11, 3.15005428536e+11
2.98e-06, 1.2659505255e+11, 2.16086162565e+11, 3.11384709334e+11
2.99e-06, 1.25333430782e+11, 2.13725503089e+11, 3.07815334999e+11
3e-06, 1.24086871945e+11, 2.11396421893e+11, 3.04296444472e+11
3.01e-06, 1.22855172452e+11, 2.09098424373e+11, 3.00827193265e+11
3.02e-06, 1.21638131653e+11, 2.06831024692e+11, 2.97406753098e+11
3.03e-06, 1.20435551796e+11, 2.04593745614e+11, 2.94034311557e+11
3.04e-06, 1.19247237979e+11, 2.02386118328e+11, 2.90709071748e+11
3.05e-06, 1.18072998121e+11, 2.00207682292e+11, 2.87430251967e+11
3.06e-06, 1.16912642909e+11, 1.9805798507e+11, 2.84197085374e+11
3.07e-06, 1.15765985771e+11, 1.95936582172e+11, 2.81008819677e+11
3.08e-06, 1.14632842828e+11, 1.93843036906e+11, 2.77864716821e+11
3.09e-06, 1.1351303286e+11, 1.91776920223e+11, 2.74764052688e+11
3.1e-06, 1.12406377266e+11, 1.8973781057e+11, 2.71706116798e+11
3.11e-06, 1.11312700027e+11, 1.87725293747e+11, 2.68690212024e+11
3.12e-06, 1.1023182767e+11, 1.85738962765e+11, 2.65715654308e+11
3.13e-06, 1.09163589226e+11, 1.83778417708e+11, 2.62781772386e+11
3.14e-06, 1.08107816202e+11, 1.81843265596e+11, 2.59887907521e+11
3.15e-06, 1.07064342537e+11, 1.79933120252e+11, 2.57033413238e+11
3.16e-06, 1.06033004572e+11, 1.78047602173e+11, 2.54217655071e+11
3.17e-06, 1.05013641011e+11, 1.76186338403e+11, 2.51440010306e+11
3.18e-06, 1.04006092889e+11, 1.74348962406e+11, 2.48699867744e+11
3.19e-06, 1.03010203538e+11, 1.72535113947e+11, 2.45996627457e+11
3.2e-06, 1.02025818552e+11, 1.70744438966e+11, 2.43329700554e+11
3.21e-06, 1.01052785751e+11, 1.6897658947e+11, 2.40698508956e+11
3.22e-06, 1.00090955155e+11, 1.6723122341e+11, 2.38102485169e+11
3.23e-06, 99140178945.2, 1.6550800457e+11, 2.35541072069e+11
3.24e-06, 98200311434.9, 1.63806602461e+11, 2.33013722687e+11
3.25e-06, 97271209037.5, 1.62126692209e+11, 2.30519900002e+11
3.26e-06, 96352730234.8, 1.60467954449e+11, 2.28059076736e+11
3.27e-06, 95444735547.0, 1.58830075223e+11, 2.25630735157e+11
3.28e-06, 94547087501.7, 1.5721274588e+11, 2.23234366881e+11
3.29e-06, 93659650604.2, 1.5561566297e+11, 2.20869472688e+11
3.3e-06, 92782291308.1, 1.54038528157e+11, 2.18535562329e+11
3.31e-06, 91914877986.4, 1.52481048111e+11, 2.16232154351e+11
3.32e-06, 91057280902.1, 1.50942934427e+11, 2.13958775913e+11
3.33e-06, 90209372180.6, 1.49423903522e+11, 2.11714962618e+11
3.34e-06, 89371025781.6, 1.47923676554e+11, 2.0950025834e+11
3.35e-06, 88542117471.6, 1.46441979329e+11, 2.07314215059e+11
3.36e-06, 87722524796.5, 1.44978542217e+11, 2.051563927e+11
3.37e-06, 86912127055.5, 1.43533100065e+11, 2.03026358972e+11
3.38e-06, 86110805274.4, 1.42105392119e+11, 2.00923689212e+11
3.39e-06, 85318442179.4, 1.40695161936e+11, 1.98847966237e+11
3.4e-06, 84534922172.2, 1.39302157312e+11, 1.96798780195e+11
3.41e-06, 83760131304.2, 1.37926130198e+11, 1.94775728416e+11
3.42e-06, 82993957251.9, 1.36566836627e+11, 1.92778415273e+11
3.43e-06, 82236289292.5, 1.35224036638e+11, 1.90806452043e+11
3.44e-06, 81487018279.7, 1.33897494203e+11, 1.88859456771e+11
3.45e-06, 80746036619.9, 1.32586977156e+11, 1.86937054136e+11
3.46e-06, 80013238249.0, 1.31292257121e+11, 1.85038875324e+11
3.47e-06, 79288518609.1, 1.30013109442e+11, 1.83164557897e+11
3.48e-06, 78571774625.8, 1.2874931312e+11, 1.81313745671e+11
3.49e-06, 77862904686.3, 1.27500650742e+11, 1.79486088593e+11
3.5e-06, 77161808616.7, 1.26266908418e+11, 1.77681242623e+11
3.51e-06, 76468387660.6, 1.25047875716e+11, 1.75898869619e+11
3.52e-06, 75782544457.9, 1.23843345602e+11, 1.74138637217e+11
3.53e-06, 75104183023.4, 1.22653114377e+11, 1.72400218728e+11
